tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1,C2_fraction,E2_fraction,N2,minority2,scale2,Rinf2,concentration2,Q3_2,Q8_2,Q16_2
0.28500000000000003,0.9788310219023777,1.0833041954847558,0.7473385640727203,0.7538204246385999,6.750682144545943,0.41114394988118996,0.9914013200571115,0.9468019205597967,16.14293189446005,0.8780001650236906,0.9122272114471206,0.9326468361051725,0.3179325618520428,0.21562984302546137,10.039782621853007,0.41417354512857346,1.474436735616886,0.6337774983767508,30.048048187463838,0.5948505951316457,0.5774275165398776,0.5975811196964712,0.01602050995859826,0.005796903651611569,18.81821477966118,0.4291846831537969,2.763632263259106,0.06137405367976629,33.2640223300487,0.09728829298329371,0.06693574727064615,0.06264676067156993
0.28750000000000003,0.9786151741206002,1.084676402387114,0.7442362865545489,0.7507358933906639,6.750280619779049,0.41135251397253025,0.9913423523594165,0.9454335036547538,16.151720867794353,0.8760567686829055,0.9103313772918527,0.9309474037244783,0.3218934975157596,0.21826911768740112,10.041950533618001,0.4140587447895085,1.4747551138991932,0.6379232961568936,30.06768338030132,0.5983285588298389,0.5807880901388758,0.6012484348733901,0.016476524334987436,0.005956570401615189,18.835080985578127,0.4295384522944528,2.766109224616845,0.06197058764599661,33.163819406241714,0.09859938231291492,0.0676933941658426,0.06329998078747216
0.29,0.9783985799255643,1.086052815543213,0.741136861208583,0.7476533711055,6.749883620928534,0.4115633291993208,0.9912840493352133,0.9440431714357568,16.160231094912383,0.8741081407379417,0.9084272085641566,0.9292372619098249,0.32584798062300147,0.22090280821944625,10.044121647131682,0.4139457531086868,1.4750739623884819,0.6419980508218013,30.085319625324686,0.6017749372881595,0.5841165519603873,0.6048808631433655,0.01693863612694384,0.006118198693616499,18.851808897500955,0.42989149830331064,2.7685658761976764,0.06254855546248807,33.057354811769805,0.09990639003547583,0.06844500371340662,0.06394638115150722
0.2925,0.9781812350760701,1.0874332670609255,0.7380405954762328,0.7445731695823212,6.749491192584258,0.4117763626053275,0.9912264175329432,0.9426312389634383,16.168463357268724,0.872154483557552,0.9065149300558482,0.9275166098826152,0.32979559592844826,0.22353063211233107,10.046296059668578,0.4138345709195813,1.4753932953704338,0.6460017786995093,30.100987119496082,0.6051899068217655,0.5874129914163909,0.6084783724135007,0.017406744557837233,0.006281749840440514,18.868400485053538,0.43024391710157606,2.771002507259437,0.0631083166694616,32.945108169962666,0.10120908457489243,0.06919053861230606,0.06458593113954879
0.295,0.9779631353814447,1.088817590493063,0.7349477900339724,0.7414955940252682,6.749103378560629,0.41199158027520544,0.991169463387165,0.9411980208345918,16.176418465210133,0.8701959965867772,0.9045947632131615,0.9257856450475359,0.33373593919966443,0.22615231441932168,10.0484738709142,0.41372519882234854,1.475713127484806,0.6499345199131136,30.11471574805465,0.6085736469371449,0.5906775013646064,0.612040936955172,0.017880746558753453,0.0064471844531896845,18.884857797474805,0.4305957991955968,2.773419418752184,0.06365022240442206,32.827527321748214,0.1025072456132464,0.06992997303111322,0.06521861092106607
0.2975,0.9777442767013294,1.0902056208635136,0.7318587388499401,0.7384209430944046,6.748720221898333,0.4122089473445684,0.9911131932188094,0.9397438310938379,16.184097257298696,0.8682328763537067,0.9026669261425663,0.9240445629332684,0.33766861703453044,0.22876758763803676,10.050655182291525,0.4136176371918397,1.476033473626519,0.6537963374048772,30.126535074345693,0.6119263401317205,0.5939101779905271,0.6155685372916428,0.01836053699843127,0.006614462520424647,18.901182959071267,0.43094722949743186,2.7758169226503577,0.06417461206747783,32.70502857043263,0.10380066391528171,0.07066329226515063,0.06584441142623515
0.3,0.9775246549454677,1.091597194692381,0.728773729242844,0.735349508959075,6.74834176486621,0.41242842801035007,0.991057613235454,0.9382689831458868,16.191500599603955,0.8662653164776395,0.9007316336178132,0.9222935571344263,0.3415932466740917,0.23137619158973866,10.052840096316425,0.4135118861858565,1.476354348850995,0.6575873159879726,30.136474330809037,0.6152481716991103,0.5971111206872705,0.6190611600807999,0.01884600891271584,0.006783543486943809,18.917378164553867,0.4312982871861034,2.7781953412679514,0.06468181050671257,32.577997181632604,0.10508914131506039,0.07139049236024703,0.0664633342980975
0.3025,0.9773042660734903,1.0929921500201234,0.7256930419430322,0.7322815773534964,6.747968048963246,0.41264998554144894,0.9910027295316162,0.9367737896684605,16.198629384965255,0.8642935076785844,0.898789097088151,0.9205328192548204,0.345509455811384,0.23397787329640665,10.055028715982486,0.41340794575362094,1.4766757682838132,0.6613075614265731,30.14456241109867,0.6185393295437116,0.6002804319336047,0.6225187979936311,0.019337053732778914,0.006954386331928399,18.93344567426496,0.43164904560630896,2.780555006557551,0.06517212572999508,32.44678811797009,0.10637249069693452,0.07211157970519097,0.06707539182755916
0.305,0.9770831060947011,1.094390326430691,0.7226169511556021,0.7292174276344471,6.747599114920735,0.4128735822896508,0.9909485480890704,0.9352585625259061,16.205484532225206,0.8623176377880519,0.896839524687654,0.9187625388521394,0.34941688239677654,0.23657238685589224,10.057221144175413,0.41330581564443214,1.4769977470347093,0.6649571995449001,30.150827863304,0.6218000040052222,0.6034182171705292,0.6259414495890596,0.019833561511382155,0.0071269496462290005,18.949387809302607,0.43199957220147644,2.782896259394292,0.06564584714266826,32.311726986997975,0.10765053588207646,0.07282657059522683,0.06768060686867597
0.3075,0.9768611710678631,1.0957915650736676,0.7195457246254179,0.7261573328409326,6.747235002704577,0.41309917970082016,0.990895074777186,0.9337236126835579,16.212066985435467,0.860337891761088,0.894883121245611,0.9169829033841281,0.35331517444035987,0.2391594933154479,10.059417483117329,0.41320549541648305,1.477320300115966,0.6685363753657219,30.1552988842428,0.6250303876769796,0.6065245846767792,0.6293291191857386,0.020335421146488755,0.0073011917085797325,18.965206946550193,0.43234992847817233,2.785219448845908,0.06610324430396465,32.17311117997864,0.10892311149035751,0.07353549076917777,0.06827901273140594
