tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1,C2_fraction,E2_fraction,N2,minority2,scale2,Rinf2,concentration2,Q3_2,Q8_2,Q16_2
0.86,0.9052875097523124,1.3455384428638641,0.30766385099615906,0.30850972287036293,6.790563003982513,0.4214399238492473,0.9972582002721534,0.47282516440498296,12.6789780550933,0.4981194166695173,0.48168659982790096,0.48042620090583144,0.7715123300673117,0.4956844152174549,10.598289383190522,0.4272110238485023,1.5564587192616333,0.7857777704276391,25.94449325944339,0.8530485220654423,0.7563564937798661,0.7589751561981436,0.1924867670408172,0.06283096778160227,20.860527968947274,0.4906997611597531,3.0635652105486084,0.1919550063818717,35.03887692185898,0.31441645049732203,0.19614461756672624,0.1851748774307091
0.8625,0.904850749116563,1.346325316379975,0.3070928695390341,0.3079166595447452,6.791015361290706,0.4211302047061598,0.9973246332078001,0.47099578506072426,12.642921834133105,0.4973238315282,0.4805997010252843,0.4792889514033504,0.770978417895185,0.49523529615019407,10.600559741758692,0.4273413191118928,1.556792142822881,0.7844124530131262,25.916705601632827,0.8523651672607965,0.7553252482928584,0.7578357536800964,0.1937213770231008,0.06322303748730297,20.864133702439073,0.4909882953817883,3.0640947465076422,0.19320605613469496,35.16379396050521,0.31550877438688796,0.1969924740164605,0.18610186047432495
0.865,0.9044127423862298,1.3471115232248216,0.3065322933599052,0.3073342117981575,6.791465418654647,0.42081981387539646,0.9973907283749489,0.4691759435149862,12.606835574724006,0.49653891391499966,0.47952488156038414,0.4781699413231007,0.7704208460616014,0.49477164428732884,10.602820043057433,0.4274715313683807,1.5571240893792908,0.7830268700580425,25.888564363045422,0.8516667169079583,0.7542803819640727,0.7566860249162959,0.19496265479556674,0.06361718038357397,20.867728626517913,0.49126913901101804,3.064622695002469,0.19434145766858996,35.266774476600986,0.31660497061630705,0.1978385541578279,0.1870078680808625
0.8675,0.9039734823142134,1.3478970306645668,0.30598207844839015,0.3067623338576014,6.7919131527913414,0.42050881811651075,0.9974564823542726,0.46736568915104143,12.570722701219754,0.4957646565831612,0.4784620953458664,0.47706898210409293,0.7698396746482244,0.494293514699325,10.605070104280648,0.4276016647900502,1.5574545320840634,0.7816217915064296,25.860091619535577,0.8509531856863666,0.7532219259553106,0.7555260393034506,0.19621052228387778,0.0640133727385205,20.871312024332816,0.4915421770847028,3.065148950756764,0.19535609899103942,35.34709140380085,0.31770492024004293,0.19868256792235686,0.18789230976755203
0.87,0.9035329617442542,1.3486818089926043,0.3054421801136261,0.306200979149,6.792358543629511,0.4201972843428524,0.9975218921981148,0.4655650693967178,12.534586630949542,0.49500105087545226,0.4774112941779979,0.4759858752208515,0.7692349636987235,0.4938009627707861,10.6073097318457,0.42773172119039093,1.5577834425077637,0.7801979805242091,25.831309248530392,0.8502245882842218,0.7521499125722872,0.7543558651498924,0.19746489685606547,0.06441158962163417,20.874883110760372,0.49180733483251765,3.0656733984677524,0.1962456846242364,35.404174442527484,0.31880850199443095,0.1995242759032049,0.18875482444077185
0.8725,0.9030911736121321,1.3494658328034208,0.3049125529312823,0.3056501002408483,6.792801574420767,0.4198852796547861,0.9975869554468165,0.46377413014568647,12.498430785851514,0.4942480866660498,0.476372427789375,0.47492041288003156,0.7686067731180334,0.4932940441697309,10.609538720559117,0.42786169990645495,1.5581107905157958,0.7787561914675057,25.802238863084067,0.8494809393795352,0.7510643750382354,0.7531755690331446,0.19872569106842447,0.06481180483325773,20.878441031049014,0.4920645769133675,3.0661959126071077,0.19700674477483082,35.4376094243653,0.3199155917830561,0.2003634879029736,0.18959527389825284
0.875,0.9026481109439621,1.3502490821482007,0.30439315068409667,0.30510964878255264,6.793242231824344,0.419572871365631,0.9976516701411607,0.46199291618316596,12.46225860433064,0.4935057522937314,0.4753454438780301,0.47387237868732196,0.7679551626733004,0.4927728148709499,10.61175685301417,0.427991597702515,1.5584365441799313,0.7773887578134345,25.775938600154873,0.8487222536870952,0.7499653473513254,0.7519852152564818,0.1999928123723488,0.06521399082069915,20.881984859755132,0.4923139060032139,3.06671635726471,0.19763663121254024,35.44713529112604,0.3210260619136844,0.2012000600985817,0.19041373237168857
0.8775000000000001,0.9022037668517294,1.3510315435356932,0.30388392629619343,0.3045795754379375,6.793680505960148,0.4192601270181865,0.9977160348301625,0.4602214715995507,12.426073552873339,0.49277403448661805,0.47433028811184347,0.47284154827908587,0.7672801921052282,0.4922373312377365,10.613963899247887,0.4281214086952739,1.5587606697279401,0.7762513827070954,25.757578490065086,0.8479485460784588,0.7488528642444658,0.7507848654397846,0.20126616279764034,0.06561811858531223,20.885513600200067,0.49255536078643236,3.067234586068902,0.19813350082030198,35.43263890962435,0.3221397807738483,0.20203389097778868,0.1912104724162798
0.88,0.9017581345262844,1.3518132107461074,0.30338483176164827,0.3040598298145598,6.794116390425905,0.41894711438988974,0.9977800485735874,0.4584598401748288,12.38987913692951,0.49205291827874237,0.47332690410800793,0.4718276899152144,0.7665819213545775,0.49168765016413574,10.616159616676905,0.42825112430018214,1.5590831315341682,0.7750896636167515,25.738726054395464,0.8471598317791839,0.7477269612628819,0.7495745782765896,0.2025456386315973,0.06602415758593455,20.88902618471312,0.4927890134268716,3.0677504422221746,0.19849628814129341,35.39414800280844,0.32325661247966053,0.20286491626890885,0.19198594759881835
0.8825000000000001,0.9013112072280896,1.3525940854308773,0.30289581806800214,0.3035503603896467,6.794549882275406,0.4186339014849447,0.9978437109387568,0.45670806571693223,12.35367891057556,0.4913423869189562,0.4723352333882343,0.4708305650318031,0.7658604109039953,0.4911238292773956,10.618343750321703,0.428380733198015,1.5594038921524684,0.7739043262797582,25.719401883359783,0.8463561266334799,0.7465876749704755,0.7483544094835936,0.203831130116238,0.06643207564493797,20.892521475950364,0.4930149666152587,3.0682637586948496,0.19899705123851882,35.380250215956686,0.3243764165226977,0.20369310314072364,0.19274077257339242
0.885,0.9008629782760549,1.3533741774769719,0.3024168351156655,0.30305111443365634,6.7949809819562255,0.4183205565121819,0.9979070219914015,0.4549661923384119,12.317476484502144,0.49064242177342077,0.4713552153113679,0.4698499287544007,0.7651157222304031,0.49054592719763446,10.62051603331821,0.42851022132056266,1.5597229123913365,0.7726960887141548,25.699626306800695,0.8455374474334872,0.7454350432904372,0.747124411960912,0.2051225211880018,0.06684183886371478,20.895998269586215,0.49323335030556675,3.06877435862036,0.1996618416077851,35.39535841369912,0.32549904799762336,0.20451844398903915,0.19347570125182081
0.8875000000000001,0.9004134410348188,1.3541535051207314,0.30194783163441646,0.3025620379326393,6.795409693207126,0.41800714784792503,0.9979699822805939,0.45323426465804384,12.281275531927722,0.48995300222296445,0.47038678698609887,0.468885530374584,0.7643479183580417,0.489954003848998,10.622676187704348,0.42863957185407514,1.5600401514294202,0.7714656599796587,25.679419348863227,0.8447038123181184,0.7442691059791025,0.7458846361714045,0.20641968928490695,0.06725341155461545,20.899455298660932,0.4934443182633082,3.0692820559337224,0.2005805859965226,35.45512459849378,0.3266243576178858,0.2053409501463276,0.1941916038630521
0.89,0.8999625889008507,1.3549320948026329,0.3014887550984389,0.30208307551075453,6.795836022916887,0.4176937439837415,0.998032592818016,0.45170082752165946,12.250191928725409,0.48927410555693845,0.46942988316742223,0.46793711379439773,0.7635570644973052,0.4893481208139202,10.624823925457953,0.4287687652589834,1.5603555669679492,0.7702137393183642,25.65880069450131,0.8438552412311148,0.7430899052249748,0.7446351307358077,0.2077225052452168,0.06766675619611673,20.902891239829504,0.4936480445526146,3.0697866562892453,0.20136622477852495,35.490949855659814,0.32775219089479685,0.2061606458494546,0.19488944374207437
0.8925000000000001,0.8995104152877192,1.3557099807606054,0.30103955164156737,0.3016141703544341,6.796259980948194,0.41738041345959165,0.9980948550520965,0.45128359162668236,12.249150449821263,0.4886057068655923,0.46848443614136087,0.46700441794460656,0.7627432287499845,0.488728341719722,10.62695894975184,0.428897779304344,1.560669115415053,0.768941015680795,25.637789668255685,0.8429917564261249,0.7418974863576839,0.7433759432281741,0.20903083331907263,0.06808183341730364,20.90630472169535,0.4938447200859707,3.070287958284411,0.20201777737259013,35.50287768746133,0.3288823875736059,0.20697756277735757,0.19557025468714487
0.895,0.8990569136108767,1.3564872043655258,0.3006001659745658,0.30115526413979476,6.796681579931559,0.4170672247835275,0.998156770837745,0.45086622687993655,12.247902259930028,0.4879477789331916,0.4675503756031612,0.46608717718369985,0.761906482857845,0.4880947326448525,10.629080956382401,0.42902658911542496,1.5609807520955634,0.7676481676200356,25.616405225012127,0.8421133830037049,0.7406918986450058,0.742107121144182,0.21034453131033093,0.06849860201661069,20.909694335328048,0.49403454935060714,3.0707857550045032,0.2025349220552607,35.49106731998444,0.33001478162490033,0.20779173542729706,0.1962351196711935
0.8975,0.8986020772722906,1.3572638132089894,0.30017054130635523,0.30070629696492396,6.797100835035598,0.41675424633967967,0.9982183424026159,0.4504486900024985,12.246446579697333,0.4873002921342793,0.4666276285346104,0.46518512168504783,0.7610469029688859,0.48744736253078275,10.631189635320597,0.4291551672328186,1.5612904314787934,0.7663358635151578,25.594665951748453,0.841220149460807,0.7394731961504997,0.7408287130043034,0.21166345086018606,0.06891701901824056,20.91305864696068,0.4942177474093434,3.0712798358873323,0.20291794523679307,35.45578311200293,0.33114920150496463,0.20860319753843667,0.19688515159123698
0.9,0.8981458996452546,1.3580398599613175,0.29975061927109914,0.30026720728863515,6.797517763720757,0.41644154628676866,0.99827957231094,0.4500309345292672,12.244782609102527,0.4866632143355603,0.46571611908631433,0.46429797781957655,0.7601645703943798,0.4867863035850073,10.633284672328932,0.42928348368141567,1.5615981074160037,0.7650047620666508,25.572590078660316,0.8403120882323452,0.7382414386203147,0.7395407695455544,0.21298743787741448,0.06933703976786303,20.916396212745838,0.4943945372521512,3.071769988890293,0.20316769042634553,35.39738407965993,0.3322854706194339,0.2094119797002239,0.19752147659655214
0.9025,0.8976883740597114,1.358815401027941,0.29934033986296493,0.2998379318771755,6.797932385484066,0.41612919244974855,0.9983404634260403,0.44961291073544635,12.242909525966374,0.4860365108058495,0.46481576847067047,0.46342546854081534,0.7592595723300645,0.4861116316608704,10.635365750586018,0.42941150604747935,1.5619037333789865,0.7636555129923117,25.5501954975599,0.839389236205957,0.7369966923655729,0.7382433449500794,0.2143163331126891,0.06975861806721831,20.919705595326317,0.4945651475494111,3.0722560029239285,0.20328550871470416,35.316313853992924,0.3334234081230697,0.2102181082066546,0.19814522036544796
